id,csp,cso,duration,count,reuse,is_iaas,is_paas,is_saas
F1607067912,18F - 18F Cloud.gov,CG-TTS - Cloud.Gov,258,20,19,0,1,0
FR2513049676,22nd Century Technologies Inc.,XtractIQ,32,0,0,0,0,1
FR2335047392,"3rd Eye Technologies, Inc.",Mystic Message Archival,378,1,0,0,0,1
FR2000174962,"Abbott, Inc.",LibreView for US Government,210,1,0,0,0,1
FR2425960757,Abnormal AI ,Abnormal AI for Government,255,1,0,0,0,1
FR2307441316,Absolute Security,Absolute Secure Endpoint Product Suite,812,2,1,0,0,1
FR1707156421,Acadis,Acadis Readiness Suite,392,9,8,0,0,1
F1511167634,"Accellion USA, LLC.",Kiteworks Federal Cloud,532,17,17,0,0,1
F1404043549,Accenture Federal Services,Accenture Federal Cloud ERP,95,2,1,0,0,1
FR1834336116,Accenture Federal Services,Accenture Extended Detection and Response (XDR) for government,414,3,2,0,0,1
FR1704369518,Accenture Federal Services,Accenture Insights Platform (AIP) For Government,403,6,7,0,1,0
FR2106555313,"AchieveIt Online, LLC",AchieveIt,231,1,0,0,0,1
F1302201919,Acquia Inc.,Acquia Cloud,703,27,29,0,1,0
FR2214062312,"Actsoft, Inc",Actsoft Workforce Manager for Gov.,570,1,0,0,0,1
FR2104942200,"Acuant, Inc.","Connect, Ozone, & Facial Recognition System (COFRS)",359,1,0,0,0,1
FR2212874638,"Acumen, LLC",SkyShaper Technologies ,153,0,0,0,0,1
F1509037239,Adobe,Adobe Experience Manager Managed Services (AEMMS-GC),128,7,6,0,0,1
FR1907354404,Adobe,Adobe Campaign,211,2,1,0,0,1
FR1832870021,Adobe,Adobe Learning Manager,143,2,7,0,0,1
F1509037236,Adobe,Adobe Connect Managed Services (ACMS-GC),128,5,4,0,0,1
FR1820435961,Adobe,"Adobe Document Cloud including Adobe Acrobat, Adobe Acrobat Sign, and Adobe Acrobat Services (APIs)",21,6,9,0,0,1
FR1820435960,Adobe,Adobe Creative Cloud for Enterprise,21,10,13,0,0,1
FR1832869359,Adobe,Adobe Analytics,455,1,0,0,0,1
FR2108360349,Adobe,Adobe Acrobat Sign for Government,77,11,10,0,0,1
FR2322741394,AgileRank,Agile RTLS Suite (A-RTLS),161,1,0,0,0,1
FR2322036060,"Aidin, Inc.",Aidin Post-Acute Referrals Module,452,0,0,0,0,1
AGENCYHUDSAAS,AINS dba OPEXUS,AINS dba OPEXUS - eCase,430,48,47,0,1,1
F1206061353,Akamai,Content Delivery Services,400,29,381,1,0,0
FR2411862686,Alation,Alation Cloud Service,40,0,0,0,0,1
FR2413241182,Altana,Altana for Government,223,0,0,0,0,1
F1603047866,Amazon,AWS GovCloud,330,94,1105,1,1,1
AGENCYAMAZONEW,Amazon,AWS US East/West,180,109,998,1,1,1
FR2012366611,Amplifire,Amplifire,190,1,0,0,0,1
F1210011608,Appian,Appian Cloud,407,28,27,0,1,1
FR2318051429,Appian,Appian Government Cloud - High,581,1,0,0,1,1
FR2431264500,AppOmni,AppOmni SaaS Security for Government,259,1,0,0,0,1
F1603157879,Apptio an IBM company,Apptio for Technology Business Management and Cloud Financial Management (TBM) ,433,7,6,0,0,1
FR2326654692,"Aprimo US, LLC",Aprimo,642,1,0,0,0,1
FR2330939028,Aqua Security Software Inc.,Aqua Platform for Government,578,1,0,0,0,1
FR1708752710,"Armedia, LLC",Armedia Content Cloud,992,2,1,0,0,1
FR2031936863,Armis Federal LLC,Armis FedRAMP Edition (AFE),242,6,5,0,0,1
FR2317139564,Articulate Global LLC,Articulate 360,374,5,4,0,0,1
FR1908649566,Aruba Networks,Aruba Central,280,10,9,0,0,1
FR2401839361,"Ask Sage, Inc.",Ask Sage,447,5,4,0,0,1
FR1920363607,AT&T Cybersecurity,LevelBlue,226,1,38,0,0,1
FR2412062433,Atlassian,Atlassian Government Cloud,246,2,1,0,0,1
FR2403745080,ATOM EVSE,"Atom Power, Inc - ATOM EVSE",120,1,0,0,0,1
FR2031222637,"Aurigo Software Technologies, Inc.",Masterworks Cloud Platform,1122,1,0,0,0,1
FR1814168113,"Authentic8, Inc.",Silo,137,13,12,0,0,1
FR2226322745,Autodesk,Autodesk for Government,758,1,0,0,0,1
FR1923743650A,"Automattic, Inc.",WordPress VIP,489,8,7,0,0,1
FR2427142353,"AutoRABIT Holding, Inc.",CodeScan,6,0,0,0,0,1
FR2410056366,Avature Federal Platform,Avature Limited,309,1,0,0,0,1
F1506046708,"Avaya, Inc.",Avaya Government Cloud,504,5,4,0,0,1
FR2025827270,AvePoint Inc.,AvePoint Online Services for US Government (AOS-UG),266,7,6,0,0,1
F1206191394,Avue Technologies,Avue Digital Services,184,2,1,0,0,1
FR2333756970,Axiad IDS Inc.,Axiad Conductor,669,0,0,0,0,1
FR1703752011,Axon,US Axon FedCloud - High,271,19,18,0,0,1
FR2401047002,Axonius Federal Systems,Axonius Asset Cloud,490,2,1,0,0,1
FR2430123303,Aztec Software,Aztec Learning System,270,0,0,0,0,1
FR2128235497,"Bamboo Health, Inc.",PMP Government-Gateway,1235,1,0,0,0,1
FR2221456469,"Bentley Systems, Incorporated",Bentley for Government,90,0,0,0,0,1
FR2515673452,"Beryllium InfoSec, Inc.",Cuick Trac Managed Enclave (CTME),86,0,0,0,1,1
FR2318956176,"BetterUp, Inc.",BetterUp for Government,457,1,0,0,0,1
FR2231070252,BeyondTrust,Secure Remote Access,456,5,4,0,0,1
FR1918442180,Bizagi Corp.,Bizagi Cloud for US Government,470,2,1,0,1,0
F1302271924A,BlackBerry,BlackBerry Cloud - AtHoc Services for Government (High),164,21,20,0,0,1
F1506076709,Blackboard,Blackboard Learn SaaS,272,5,4,0,0,1
FR2410560133,BlackOhm,Omega Platform,355,0,0,0,0,1
FR2424553196,BLINK CHARGING,BLINK GOV,339,1,0,0,0,1
FR2035056105,Bluescape,Bluescape for Government,328,2,1,0,0,1
F1510057481,BMC Software,BMC Helix,218,6,5,0,0,1
FR2429249027,Bonterra,Apricot for Government,180,0,0,0,0,1
FR1916254386,Boomi,AtomSphere,152,2,5,0,0,1
FR2017462201,Booz Allen Hamilton,Supply Chain Master Catalog (SCMC) Government Cloud Solution,201,1,0,0,0,1
F1212191840A,Box Inc.,Box Enterprise Cloud Content Collaboration Platform,1097,42,42,0,1,1
FR2425374322,BP Pulse,Omega Charge Management System,307,1,0,0,0,1
FR2522249893,Bridge Intelligence LLC. dba AssetIntel,Asset Management Suite (AMS),54,0,0,0,0,1
FR2000939520,"Broad Institute, Inc.",Terra,178,2,1,0,1,0
FR2232465502A,Broadcom,Symantec Gov Cloud Security (GCS) - High,127,1,0,0,0,1
FR1923039219,"Canon U.S.A., Inc.",Canon Office Cloud – Managed Print Services,437,2,1,0,0,1
FR2009476860A,Casepoint LLC,Casepoint Government,348,7,6,0,0,1
